WHONET_ORG_CODE	REPLACED_BY	ORGANISM	TAXONOMIC_STATUS	COMMON	ORGANISM_TYPE	ANAEROBE	MORPHOLOGY	SUBKINGDOM_CODE	FAMILY_CODE	GENUS_GROUP	GENUS_CODE	SPECIES_GROUP	SEROVAR_GROUP	MSF_GRP_CLIN	SCT_CODE	SCT_TEXT	GBIF_TAXON_ID	GBIF_DATASET_ID	GBIF_TAXONOMIC_STATUS	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
aha		Acinetobacter haemolyticus	C		-			-		NFR	AC-			NFG-	77045006	Acinetobacter haemolyticus	3223279	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ajo		Acinetobacter johnsonii	C		-			-		NFR	AC-			NFG-	252000	Acinetobacter johnsonii	3223276	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aju		Acinetobacter junii	C		-			-		NFR	AC-			NFG-	13879009	Acinetobacter junii	3223272	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
alw		Acinetobacter lwoffii	C		-			-		NFR	AC-			NFG-	83088009	Acinetobacter lwoffi	9200754	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ano		Acinetobacter nosocomialis	C		-			-		NFR	AC-	ABX		NFG-	708859003	Acinetobacter nosocomialis	8240312	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
apa		Acinetobacter parvus	C		-			-		NFR	AC-			NFG-	423516002	Acinetobacter parvus	3223275	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
apt		Acinetobacter pittii	C		-			-		NFR	AC-	ABX		NFG-	698244000	Acinetobacter pittii	7437858	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aro		Acinetobacter radioresistens	C		-			-		NFR	AC-				113381003	Acinetobacter radioresistens	9B6F			Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aro		Acinetobacter resistans	O		-			-		NFR	AC-				113381003	Acinetobacter radioresistens	9B6F			Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
asd		Acinetobacter schindleri	C		-			-		NFR	AC-			NFG-	423732001	Acinetobacter schindleri	3223265	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ase		Acinetobacter seifertti	C		-			-		NFR	AC-	ABX		NFG-	787184002	Acinetobacter seifertii	7585807	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ac-		Acinetobacter sp.	C		-			-		NFR	AC-			NFG-	7757008	Acinetobacter	3223263	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aug		Acinetobacter ursingii	C		-			-		NFR	AC-			NFG-	424791004	Acinetobacter ursingii	3223277	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aff		Acremonium falciforme	O		f						NES				243483007	Acremonium falciforme	7982337	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora
aki		Acremonium kiliense	O		f						SAC				243484001	Acremonium kiliense	7458603	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Sarocladium
arf		Acremonium recifei	O		f						XEN						7590473	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Xenoacremonium
acr		Acremonium sp.	C		f						ACR				115992008	Acremonium species	2560451	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Acremonium
hac		Actinobacillus actinomycetemcomitans	O		-			-			AGT	HAK		OTH	113766007	Haemophilus actinomycetemcomitans	3222247	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
aeq		Actinobacillus equuli	C		-			-			ACB			OTH	27165004	Actinobacillus equuli	3222277	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
ali		Actinobacillus lignieresii	C		-			-			ACB			OTH	78043002	Actinobacillus lignieresii	3222268	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
apl		Actinobacillus pleuropneumoniae	C		-			-			ACB			OTH	116382001	Actinobacillus pleuropneumoniae	3222283	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
ats		Actinobacillus seminis	C		-			-			ACB				84269000	Actinobacillus seminis	3222275	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
acb		Actinobacillus sp.	C		-			-			ACB			OTH	116383006	Actinobacillus species	3222263	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
asu		Actinobacillus suis	C		-			-			ACB			OTH	112272003	Actinobacillus suis	3222265	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
aur		Actinobacillus ureae	C		-			-			ACB			OTH	1839009	Actinobacillus ureae	3222280	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
aam		Actinobaculum sp.	C		b						AAM				114043007	Actinobaculum									
ati		Actinobaculum suis	C		b						AAM				114045000	Actinobaculum suis	3225794	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinobaculum
amu		Actinomadura madurae	C		+			+			ACM			OTH	90285002	Actinomadura madurae	3225479	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Thermomonosporaceae	Actinomadura
acm		Actinomadura sp.	C		+			+			ACM			OTH	41571004	Actinomadura	3225210	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Thermomonosporaceae	Actinomadura
abe		Actinomyces bernardiae	O		a	X		+			ACT				40560008	Actinomyces	3225747	7ddf754f-d193-4cc9-b351-99906754a03b	synonym	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Trueperella
abo		Actinomyces bovis	C		a	X		+			ACT			OTH	59806008	Actinomyces bovis	3225750	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
agg		Actinomyces georgiae	C		a	X		+			ACT			OTH	113415003	Actinomyces georgiae	3225751	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
age		Actinomyces gerencseriae	C		a	X		+			ACT			OTH	113416002	Actinomyces gerencseriae	3225772	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
ais		Actinomyces israelii	C		a	X		+			ACT			OTH	46369004	Actinomyces israelii	3225777	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
ame		Actinomyces meyeri	C		a	X		+			ACT			OTH	3174002	Actinomyces meyeri	9771710	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
ane		Actinomyces naeslundii	C		a	X		+			ACT			OTH	8940004	Actinomyces naeslundii	3225752	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
aat		Actinomyces neuii ss. anitratus	C		a	X		+			ACT			OTH	113419009	Actinomyces neuii ss anitratus	3225770	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
anu		Actinomyces neuii ss. neuii	C		a	X		+			ACT			OTH	113420003	Actinomyces neuii ss neuii	7234553	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
aod		Actinomyces odontolyticus	C		a	X		+			ACT			OTH	12069003	Actinomyces odontolyticus	3225781	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
apy		Actinomyces pyogenes	O		+			+			TRL	COF		OTH			8216478	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Trueperella
apk		Actinomyces pyogenes-like bacteria	O		+			+			TRL	COF		OTH											
act		Actinomyces sp.	C		a	X		+			ACT			OTH	40560008	Actinomyces	9407921	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
atc		Actinomyces turicensis	C		+			+			ACT			OTH	113422006	Actinomyces turicensis	9132981	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
avs		Actinomyces viscosus	C		a	X		+			ACT			OTH	33529006	Actinomyces viscosus	3225779	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
adv		Adenovirus	C		v										74871001	Human adenovirus									
aec		Aerococcus sp.	C		+			+			AEC			OTH	131206005	Aerococcus species	3227021	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
aun		Aerococcus urinae	C		+			+			AEC			OTH	243230001	Aerococcus urinae	3227026	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
avi		Aerococcus viridans	C		+			+			AEC			OTH	78803006	Aerococcus viridans	3227022	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
avh		Aerococcus viridans var. homari	C		+			+			AEC							7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
acv		Aeromonas caviae	C		-			-			AER			AVPV	88529008	Aeromonas	3222881	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
adh		Aeromonas dhakensis	C		-			-			AER				385475003	Aeromonas dhakensis				Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas
atr		Aeromonas enteropelogenes	C		-			-			AER			AVPV			3222896	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aeu		Aeromonas eucrenophila	C		-			-			AER			AVPV	115030004	Aeromonas eucrenophilia	3222880	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aeh		Aeromonas hydrophila	C		-			-			AER			AVPV	85823000	Aeromonas hydrophila	3222868	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aja		Aeromonas jandaei	C		-			-			AER			AVPV	88529008	Aeromonas	8912746	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
amd		Aeromonas media	C		-			-			AER			AVPV	65192005	Aeromonas media	3222875	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
apn		Aeromonas punctata	O		-			-			AER			AVPV	115038006	Aeromonas punctata subspecies punctata	3222892	7ddf754f-d193-4cc9-b351-99906754a03b	synonym	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
apn		Aeromonas punctata ss. punctata	O		-			-			AER			AVPV	115038006	Aeromonas punctata subspecies punctata	3222893	7ddf754f-d193-4cc9-b351-99906754a03b	synonym	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
asa		Aeromonas salmonicida	C		-			-			AER			AVPV	30334005	Aeromonas salmonicida	3222886	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
ash		Aeromonas schubertii	C		-			-			AER			AVPV	115039003	Aeromonas schubertii	3222867	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aso		Aeromonas sobria	C		-			-			AER			AVPV	43731003	Aeromonas sobria	3222884	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aer		Aeromonas sp.	C		-			-			AER			AVPV	131207001	Aeromonas species	3222380	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
atr		Aeromonas trota	O		-			-			AER			AVPV			3222896	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
ave		Aeromonas veronii	C		-			-			AER			AVPV	9281006	Aeromonas veronii	3222883	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
asb		Aeromonas veronii biovar sobria	C		-			-			AER			AVPV	425549009	Aeromonas veronii biovar sobria	3222883	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
avv		Aeromonas veronii biovar veronii	C		-			-			AER			AVPV	425796003	Aeromonas veronii biovar veronii	3222883	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
afo		Afipia broomeae	C		-			-			AFI			OTH	114235008	Afipia broomae	3221019	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
afd		Afipia clevelandensis	C		-			-			AFI			OTH	114236009	Afipia clevelandensis	3221018	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
apf		Afipia felis	C		-			-			AFI			OTH	114237000	Afipia felis	3221020	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
afi		Afipia sp.	C		-			-			AFI			OTH	114241001	Afipia species	3221016	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
adu		Agchylostoma duodenale	C		w						AGC						4558925	80b4b440-eaca-4860-aadf-d0dfdd3e856e	accepted	Animalia					Agchylostoma
hac		Aggregatibacter actinomycetemcomitans	C		-			-			AGT	HAK		OTH	113766007	Haemophilus actinomycetemcomitans	3222247	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
hap		Aggregatibacter aphrophilus	C		-			-			AGT	HAK		OTH	46143000	Haemophilus aphrophilus	3222250	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
hse		Aggregatibacter segnis	C		-			-			AGT	HAK		OTH	6520007	Haemophilus segnis	3222253	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
agt		Aggregatibacter sp.	C		-			-			AGT	HAK		OTH			3222246	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
atu		Agrobacterium radiobacter	O		-			-		NFR	RZO			OTH	415303003	Rhizobium	5427485	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
agr		Agrobacterium sp.	C		-			-		NFR	AGR				131208006	Agrobacterium species	3220724	52a423d2-0486-4e77-bcee-6350d708d6ff	synonym	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
atu		Agrobacterium tumefaciens (radiobacter)	O		-			-		NFR	RZO			OTH	415303003	Rhizobium	5427485	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
ajc		Ajellomyces capsulatus	C		f						AJE				62969002	Ajellomyces capsulatus	3469214	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces
cpr		Ajellomyces crescens	C		f						AJE						2595918	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces
aje		Ajellomyces sp.	C		f						AJE				27728005	Ajellomyces	2588641	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces
afa		Alcaligenes faecalis (odorans)	C		-			-		NFR	ALC			OTH	25223004	Alcaligenes fecalis									
afa		Alcaligenes odorans	O		-			-		NFR	ALC			OTH	25223004	Alcaligenes fecalis									
api		Alcaligenes piechaudii	O		-			-		NFR	ACH			OTH			3219790	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
alc		Alcaligenes sp.	C		-			-		NFR	ALC			OTH	131201000	Alcaligenes species	3219793	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
