GUIDELINE	YEAR	STRAIN	REFERENCE_TABLE	WHONET_ORG_CODE	ANTIBIOTIC	ABX_TEST	WHONET_ABX_CODE	METHOD	MEDIUM	MINIMUM	MAXIMUM	DATE_ENTERED	DATE_MODIFIED	COMMENTS
CLSI	2013	atcc25285	Table 4D	bfr	Penicillin	PEN_NM	PEN	MIC	Agar	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Piperacillin	PIP_NM	PIP	MIC	Broth	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Piperacillin	PIP_NM	PIP	MIC	Agar	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Piperacillin/Tazobactam	TZP_NM	TZP	MIC	Broth	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Piperacillin/Tazobactam	TZP_NM	TZP	MIC	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Razupenem	RZM_NM	RZM	MIC	Broth	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Razupenem	RZM_NM	RZM	MIC	Agar	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Tetracycline	TCY_NM	TCY	MIC	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Ticarcillin	TIC_NM	TIC	MIC	Agar	16	64	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Enrofloxacin	ENR_ND5	ENR	Disk	MH	32	40	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ertapenem	ERT_ND10	ERT	Disk	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Faropenem	FAR_ND5	FAR	Disk	MH	20	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Fleroxacin	FLE_ND5	FLE	Disk	MH	28	34	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Florfenicol	FLR_ND30	FLR	Disk	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Fosfomycin	FOS_ND200	FOS	Disk	MH	22	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Garenoxacin	GRN_ND5	GRN	Disk	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Gatifloxacin	GAT_ND5	GAT	Disk	MH	30	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Gemifloxacin	GEM_ND5	GEM	Disk	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Gentamicin	GEN_ND10	GEN	Disk	MH	19	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Grepafloxacin	GRX_ND5	GRX	Disk	MH	28	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Iclaprim	ICL_ND5	ICL	Disk	MH	14	22	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Imipenem	IPM_ND10	IPM	Disk	MH	26	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Kanamycin	KAN_ND30	KAN	Disk	MH	17	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Levofloxacin	LVX_ND5	LVX	Disk	MH	29	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Lomefloxacin	LOM_ND10	LOM	Disk	MH	27	33	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Loracarbef	LOR_ND30	LOR	Disk	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Marbofloxacin	MAR_ND5	MAR	Disk	MH	29	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Mecillinam	MEC_ND10	MEC	Disk	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Meropenem	MEM_ND10	MEM	Disk	MH	28	34	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Mezlocillin	MEZ_ND75	MEZ	Disk	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Minocycline	MNO_ND30	MNO	Disk	MH	19	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Moxalactam (Latamoxef)	MOX_ND30	MOX	Disk	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Moxifloxacin	MFX_ND5	MFX	Disk	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Nalidixic acid	NAL_ND30	NAL	Disk	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Netilmicin	NET_ND30	NET	Disk	MH	22	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Nitrofurantoin	NIT_ND300	NIT	Disk	MH	20	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Norfloxacin	NOR_ND10	NOR	Disk	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ofloxacin	OFX_ND5	OFX	Disk	MH	29	33	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Omadacycline	OMC_ND30	OMC	Disk	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Orbifloxacin	ORB_ND10	ORB	Disk	MH	29	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Piperacillin	PIP_ND100	PIP	Disk	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Piperacillin/Tazobactam	TZP_ND100	TZP	Disk	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Plazomicin	PLZ_ND30	PLZ	Disk	MH	21	27	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Polymyxin B	POL_ND300	POL	Disk	MH	13	19	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Razupenem	RZM_ND10	RZM	Disk	MH	21	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922		eco	Razupenem	RZM_ND10	RZM	Disk	MH	21	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Rifampin	RIF_ND5	RIF	Disk	MH	8	10	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sparfloxacin	SPX_ND5	SPX	Disk	MH	30	38	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Spectinomycin	SPT_ND100	SPT	Disk	MH	21	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Streptomycin	STR_ND10	STR	Disk	MH	12	20	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sulfamethoxazole	SMX_ND200	SMX	Disk	MH	15	23	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sulfisoxazole	SOX_ND200	SOX	Disk	MH	15	23	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sulfonamides	SSS_ND200	SSS	Disk	MH	15	23	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Tetracycline	TCY_ND30	TCY	Disk	MH	18	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ticarcillin	TIC_ND75	TIC	Disk	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ticarcillin/Clavulanic acid	TCC_ND75	TCC	Disk	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Tigecycline	TGC_ND15	TGC	Disk	MH	20	27	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Tobramycin	TOB_ND10	TOB	Disk	MH	18	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trimethoprim	TMP_ND5	TMP	Disk	MH	21	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trimethoprim/sulfamethoxazole	SXT_ND1_2	SXT	Disk	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trospectomycin	TRO_ND30	TRO	Disk	MH	10	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trovafloxacin	TVA_ND10	TVA	Disk	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ulifloxacin (prulifloxacin)	PRU_ND5	PRU	Disk	MH	32	38	2021-01-01	2021-01-01	
CLSI	2013	atcc25922		eco	Ulifloxacin (prulifloxacin)	PRU_ND5	PRU	Disk	MH	32	38	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ampicillin/Sulbactam	SAM_NM	SAM	MIC	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Carbenicillin	CRB_NM	CRB	MIC	MH	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefamandole	MAN_NM	MAN	MIC	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefazolin	CZO_NM	CZO	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefditoren	DIT_NM	DIT	MIC	MH	0.12	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefepime	FEP_NM	FEP	MIC	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefotaxime	CTX_NM	CTX	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefotetan	CTT_NM	CTT	MIC	MH	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefoxitin	FOX_NM	FOX	MIC	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefprozil	PRO_NM	PRO	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftaroline	CPT_NM	CPT	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftazidime/Avibactam	CZA_NM	CZA	MIC	MH	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftibuten	CTB_NM	CTB	MIC	MH	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Ceftiofur	TIO_NM	TIO	MIC	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftizoxime	CZX_NM	CZX	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftriaxone	CRO_NM	CRO	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefuroxime	CXM_NM	CXM	MIC	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Difloxacin	DIF_NM	DIF	MIC	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Doripenem	DOR_NM	DOR	MIC	MH	0.015	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Doxycycline	DOX_NM	DOX	MIC	MH	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Enoxacin	ENX_NM	ENX	MIC	MH	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Enrofloxacin	ENR_NM	ENR	MIC	MH	0.008	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ertapenem	ERT_NM	ERT	MIC	MH	0.004	0.016	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Faropenem	FAR_NM	FAR	MIC	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Finafloxacin	FIN_NM	FIN	MIC	MH	0.004	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Fleroxacin	FLE_NM	FLE	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Florfenicol	FLR_NM	FLR	MIC	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Fosfomycin	FOS_NM	FOS	MIC	MH	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Garenoxacin	GRN_NM	GRN	MIC	MH	0.004	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Gatifloxacin	GAT_NM	GAT	MIC	MH	0.008	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Gemifloxacin	GEM_NM	GEM	MIC	MH	0.004	0.016	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Gentamicin	GEN_NM	GEN	MIC	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Grepafloxacin	GRX_NM	GRX	MIC	MH	0.004	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Iclaprim	ICL_NM	ICL	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Imipenem	IPM_NM	IPM	MIC	MH	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Kanamycin	KAN_NM	KAN	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Levofloxacin	LVX_NM	LVX	MIC	MH	0.008	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Lomefloxacin	LOM_NM	LOM	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Loracarbef	LOR_NM	LOR	MIC	MH	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Mecillinam	MEC_NM	MEC	MIC	MH	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Meropenem	MEM_NM	MEM	MIC	MH	0.008	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Mezlocillin	MEZ_NM	MEZ	MIC	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Minocycline	MNO_NM	MNO	MIC	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Moxalactam (Latamoxef)	MOX_NM	MOX	MIC	MH	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Moxifloxacin	MFX_NM	MFX	MIC	MH	0.008	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Nalidixic acid	NAL_NM	NAL	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Netilmicin	NET_NM	NET	MIC	MH	0	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Nitrofurantoin	NIT_NM	NIT	MIC	MH	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Norfloxacin	NOR_NM	NOR	MIC	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ofloxacin	OFX_NM	OFX	MIC	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Omadacycline	OMC_NM	OMC	MIC	MH	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Orbifloxacin	ORB_NM	ORB	MIC	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Penicillin/Novobiocin	PNO_NM	PNO	MIC	MH	8	5000	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Piperacillin	PIP_NM	PIP	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Piperacillin/Tazobactam	TZP_NM	TZP	MIC	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Pirlimycin	PIR_NM	PIR	MIC	MH	32	5000	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Polymixin B	POL_NM	POL	MIC	MH	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Razupenem	RZM_NM	RZM	MIC	MH	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Rifampin	RIF_NM	RIF	MIC	MH	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Sparfloxacin	SPX_NM	SPX	MIC	MH	0.004	0.016	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Spectinomycin	SPT_NM	SPT	MIC	MH	8	64	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Sulfamethoxazole	SMX_NM	SMX	MIC	MH	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Sulfisoxazole	SOX_NM	SOX	MIC	MH	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Sulfonamides	SSS_NM	SSS	MIC	MH	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Sulopenem	SLP_NM	SLP	MIC	MH	0.015	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Tetracycline	TCY_NM	TCY	MIC	MH	0.5	2	2021-01-01	2021-01-01	
